mode,arm_id,scenario_id,seed,attempt,json_valid,parse_valid,precision,recall,f1,closed_profile_jaccard,status_agreement,latency_ms,report_signature,predicted_status,expected_status,diagnostic_signature_agreement,closed_profile_signature_hash,cgt_diagnostic_signature_hash,expected_cgt_diagnostic_signature_hash,declared_component_count,declared_components,run_may_available,run_must_available
llm_extraction,minimal_text,vague_ai_claim,101,1,1,1,1.0,0.916667,0.956522,0.916667,1,34240.518,no_declared_report,unformed,unformed,0,99c008046ec91610e9e52081af3c735d4dc7e39513285268f5d4bb361ff0e99e,64f1a27377575516187c1a893b104a27fa51658348920b661c010576abbe767f,a9989e094d63d180f6e9551b6da3d85c75ec6b9cfe59dba996a1cf468d609a40,0,[],,
llm_extraction,minimal_text,vague_ai_claim,102,1,1,1,1.0,0.916667,0.956522,0.916667,1,3755.195,no_declared_report,unformed,unformed,0,99c008046ec91610e9e52081af3c735d4dc7e39513285268f5d4bb361ff0e99e,64f1a27377575516187c1a893b104a27fa51658348920b661c010576abbe767f,a9989e094d63d180f6e9551b6da3d85c75ec6b9cfe59dba996a1cf468d609a40,0,[],,
llm_extraction,minimal_text,vague_ai_claim,103,1,1,1,1.0,0.916667,0.956522,0.916667,1,3733.184,no_declared_report,unformed,unformed,0,99c008046ec91610e9e52081af3c735d4dc7e39513285268f5d4bb361ff0e99e,64f1a27377575516187c1a893b104a27fa51658348920b661c010576abbe767f,a9989e094d63d180f6e9551b6da3d85c75ec6b9cfe59dba996a1cf468d609a40,0,[],,
llm_extraction,minimal_text,vague_ai_claim,104,1,1,1,1.0,0.916667,0.956522,0.916667,1,3798.272,no_declared_report,unformed,unformed,0,99c008046ec91610e9e52081af3c735d4dc7e39513285268f5d4bb361ff0e99e,64f1a27377575516187c1a893b104a27fa51658348920b661c010576abbe767f,a9989e094d63d180f6e9551b6da3d85c75ec6b9cfe59dba996a1cf468d609a40,0,[],,
llm_extraction,minimal_text,vague_ai_claim,105,1,1,1,1.0,0.916667,0.956522,0.916667,1,3956.105,no_declared_report,unformed,unformed,0,99c008046ec91610e9e52081af3c735d4dc7e39513285268f5d4bb361ff0e99e,64f1a27377575516187c1a893b104a27fa51658348920b661c010576abbe767f,a9989e094d63d180f6e9551b6da3d85c75ec6b9cfe59dba996a1cf468d609a40,0,[],,
llm_extraction,report_only,vague_ai_claim,101,1,1,1,1.0,0.916667,0.956522,0.916667,1,9208.95,no_declared_report,unformed,unformed,0,99c008046ec91610e9e52081af3c735d4dc7e39513285268f5d4bb361ff0e99e,64f1a27377575516187c1a893b104a27fa51658348920b661c010576abbe767f,a9989e094d63d180f6e9551b6da3d85c75ec6b9cfe59dba996a1cf468d609a40,0,[],,
llm_extraction,report_only,vague_ai_claim,102,1,1,1,1.0,0.916667,0.956522,0.916667,1,3801.381,no_declared_report,unformed,unformed,0,99c008046ec91610e9e52081af3c735d4dc7e39513285268f5d4bb361ff0e99e,64f1a27377575516187c1a893b104a27fa51658348920b661c010576abbe767f,a9989e094d63d180f6e9551b6da3d85c75ec6b9cfe59dba996a1cf468d609a40,0,[],,
llm_extraction,report_only,vague_ai_claim,103,1,1,1,1.0,0.916667,0.956522,0.916667,1,3505.834,no_declared_report,unformed,unformed,0,99c008046ec91610e9e52081af3c735d4dc7e39513285268f5d4bb361ff0e99e,64f1a27377575516187c1a893b104a27fa51658348920b661c010576abbe767f,a9989e094d63d180f6e9551b6da3d85c75ec6b9cfe59dba996a1cf468d609a40,0,[],,
llm_extraction,report_only,vague_ai_claim,104,1,1,1,1.0,0.916667,0.956522,0.916667,1,3529.626,no_declared_report,unformed,unformed,0,99c008046ec91610e9e52081af3c735d4dc7e39513285268f5d4bb361ff0e99e,64f1a27377575516187c1a893b104a27fa51658348920b661c010576abbe767f,a9989e094d63d180f6e9551b6da3d85c75ec6b9cfe59dba996a1cf468d609a40,0,[],,
llm_extraction,report_only,vague_ai_claim,105,1,1,1,1.0,0.916667,0.956522,0.916667,1,3521.27,no_declared_report,unformed,unformed,0,99c008046ec91610e9e52081af3c735d4dc7e39513285268f5d4bb361ff0e99e,64f1a27377575516187c1a893b104a27fa51658348920b661c010576abbe767f,a9989e094d63d180f6e9551b6da3d85c75ec6b9cfe59dba996a1cf468d609a40,0,[],,
llm_extraction,schema_guided_dossier,vague_ai_claim,101,1,1,1,1.0,0.916667,0.956522,0.916667,1,8988.116,no_declared_report,unformed,unformed,0,99c008046ec91610e9e52081af3c735d4dc7e39513285268f5d4bb361ff0e99e,64f1a27377575516187c1a893b104a27fa51658348920b661c010576abbe767f,a9989e094d63d180f6e9551b6da3d85c75ec6b9cfe59dba996a1cf468d609a40,0,[],,
llm_extraction,schema_guided_dossier,vague_ai_claim,102,1,1,1,1.0,0.916667,0.956522,0.916667,1,3510.042,no_declared_report,unformed,unformed,0,99c008046ec91610e9e52081af3c735d4dc7e39513285268f5d4bb361ff0e99e,64f1a27377575516187c1a893b104a27fa51658348920b661c010576abbe767f,a9989e094d63d180f6e9551b6da3d85c75ec6b9cfe59dba996a1cf468d609a40,0,[],,
