mode,arm_id,component,declared_rate,row_count
llm_extraction,minimal_text,frame,0.0,20
llm_extraction,minimal_text,system,0.0,20
llm_extraction,minimal_text,projection,0.0,20
llm_extraction,minimal_text,observation,0.0,20
llm_extraction,minimal_text,description,0.0,20
llm_extraction,minimal_text,normalizer,0.0,20
llm_extraction,minimal_text,expected_report,0.0,20
llm_extraction,minimal_text,verifier,0.0,20
llm_extraction,minimal_text,failure_predicate,0.0,20
llm_extraction,minimal_text,reproduction_protocol,0.0,20
llm_extraction,minimal_text,history,0.0,20
llm_extraction,minimal_text,continuation,0.0,20
llm_extraction,minimal_text,marker_policy,0.0,20
llm_extraction,minimal_text,marker_state,0.0,20
llm_extraction,minimal_text,degeneracy_control,0.0,20
llm_extraction,minimal_text,provenance,0.0,20
llm_extraction,minimal_text,comparison_regime,0.0,20
llm_extraction,minimal_text,report_path,0.0,20
llm_extraction,report_only,frame,0.0,20
llm_extraction,report_only,system,0.0,20
llm_extraction,report_only,projection,0.0,20
llm_extraction,report_only,observation,0.0,20
llm_extraction,report_only,description,0.0,20
llm_extraction,report_only,normalizer,0.0,20
llm_extraction,report_only,expected_report,0.0,20
llm_extraction,report_only,verifier,0.0,20
llm_extraction,report_only,failure_predicate,0.0,20
llm_extraction,report_only,reproduction_protocol,0.0,20
llm_extraction,report_only,history,0.0,20
llm_extraction,report_only,continuation,0.0,20
llm_extraction,report_only,marker_policy,0.0,20
llm_extraction,report_only,marker_state,0.0,20
llm_extraction,report_only,degeneracy_control,0.0,20
llm_extraction,report_only,provenance,0.0,20
llm_extraction,report_only,comparison_regime,0.0,20
llm_extraction,report_only,report_path,0.0,20
llm_extraction,schema_guided_dossier,frame,0.5,20
llm_extraction,schema_guided_dossier,system,0.5,20
llm_extraction,schema_guided_dossier,projection,0.0,20
llm_extraction,schema_guided_dossier,observation,0.0,20
llm_extraction,schema_guided_dossier,description,0.0,20
llm_extraction,schema_guided_dossier,normalizer,0.0,20
llm_extraction,schema_guided_dossier,expected_report,0.0,20
llm_extraction,schema_guided_dossier,verifier,0.5,20
llm_extraction,schema_guided_dossier,failure_predicate,0.0,20
llm_extraction,schema_guided_dossier,reproduction_protocol,0.0,20
llm_extraction,schema_guided_dossier,history,0.0,20
llm_extraction,schema_guided_dossier,continuation,0.0,20
llm_extraction,schema_guided_dossier,marker_policy,0.0,20
llm_extraction,schema_guided_dossier,marker_state,0.0,20
llm_extraction,schema_guided_dossier,degeneracy_control,0.0,20
llm_extraction,schema_guided_dossier,provenance,0.0,20
llm_extraction,schema_guided_dossier,comparison_regime,0.0,20
llm_extraction,schema_guided_dossier,report_path,0.0,20
